,,,"Average TT to Work, 2010",,,"LN(Average Travel Time to Work, 2010)",,,"Average TT to Work, 2010",,,
,,,LINEAR MODEL,,,LOG MODEL,,,FACTOR MODEL,,,
,,INDEPENDENT VARIABLES,Coef.,t,Sig,Coef.,t-stats,,Coef.,t-stats,Sig,
,pwa_l1ni_j~1,"PW auto access to jobs, 30 mins",-4.064,-7.325,***,-0.147,-4.664,***,,,,
,pwa_emp_t_~1,"PW transit access to jobs, 30 mins",-2.442,-1.218,,-0.012,-2.008,**,,,,
,medhhinc_2~1,Median HH income,0.159,0.019,,-0.062,-2.127,**,-0.452,-0.04,,
,area_km2,MCD size (km2),0.026,3.949,***,0.036,5.253,***,0.041,5.531,***,
,ent_len,Entropy,-2.81,-4.233,***,-0.044,-4.016,***,,,,
,circuity,Circuity,2.824,1.947,*,0.149,1.988,*,,,,
,Factor 1,Factor 1,,,,,,,0.184,0.545,,
,Factor 2,Factor 2,,,,,,,-0.623,-2.966,***,
,Factor 3,Factor 3,,,,,,,0.673,1.688,*,
,,Access factor,,,,,,,-2.339,-5.686,***,
,,Constant,24.8,9.906,***,2.746,25.011,***,23.348,21.141,***,
,,N. of cases,145,,,75,,,145,,,
,,R-squared,0.634,,,0.722,,,0.57,,,
,,Adj.,0.618,,,0.697,,,0.552,,,
,,"* p<.10, ** p<0.05, *** p<.01",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"FACTOR 1 - MAINLY MADE OF ALPHA (-VE LOADING), BRANCHNESS AND  CIRCUITY ALSO INCLUDED",,,,,,,,,,
,,"FACTOR 2 - MAINLY MADE OF THETA, PTAGE FWY, ENTROPY",,,,,,,,,,
,,FACTOR 3 - MAINLY MADE OF ETA (NEGATIVE LOADING) AND STREET DENSITY,,,,,,,,,,
,,Access Factor - Made up of person weighted accessibility to jobs by auto and transit,,,,,,,,,,
