cityname,countyname,name,pop2000,popdes,labdens,averageemployment,empdensavgemparea,medhhinc99,auto_ms,origlinks,orignodes,simplinks,simpnodes,javalinks,javanodes,cycno_u,alpha,beta,gamma,eta,branchness,circuitness,completeness,completeness*103,netwdist,eucldist,cnt_od_pairs,circuity,ent_h,ent_len,ptagefwy,nonlocal_meters,local_meters,totfwy_meters,totrdwy_meters,area_km2,stdens_km2,a10_a19,a20_a29,a30_a39,a40_a49,a50_a59,a60_a69,a70_a75,a_other,l10_a19,l20_l29,l30_l39,l40_l49,l50_l59,l60_l69,l70_l75,l_other,dvmt,centline_mi,avg_veh_mi_pday,dvktpercap,aggtt,no_wrks,avg_tt,spd_ph3_mp,spd_ph3_md,spd_ph3_ap,xcoord,ycoord,cblk_p,cblk_a,avgcblka,p2a,accessibility_mp_pop,accessibility_mp_labor,accessibility_mp_emp,pop_l1n1_p20,pop_l1n1_p30,lab_l1n1_l20,lab_l1n1_l30,emp_l1n1_j20,emp_l1n1_j30,pwa_l1n1_p20,pwa_l1n1_p30,pwa_l1n1_l20,pwa_l1n1_l30,pwa_l1n1_j20,pwa_l1n1_j30,_merge,dtwnmplstaz,mplsxcoord,mplsycoord,dtwnsplstaz,splxcoord,splycoord,dtwnmplsdist,dtwnspldist,dtwnmplsdist_km,dtwnspldist_km,theta (dvkt/simpnodes)
Centerville City,Anoka,Centerville City,3202,509,301.6667,349,55.53213,63696,0.89,185,160,166,141,332,141,26,0.0938628,1.177305,0.3980815,0.1817937,0.3817437,0.6182563,0.008409,=X25*1000,22207218,16052494,12500,1.38,0.56,0.3,0,0,30177.76,0,30178,6,5,0,0,0,144,0,0,22,0,0,0,0,28602,0,0,1575,0,25163,13,24612,12,49795,1810,27.51105,25.83564,25.83564,25.83564,495753,5001173,81.88255,6.28465,0.1185783,13.02898,361462.3,204324.4,39397.36,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,27254.47,24345.78,27.25447,24.34578,=(BF25*D25)/N25
Champlin City,Carver/Hennepin,Champlin City,22193,979,533.913,2722,120.0462,65831,0.88,1106,888,1008,790,2016,790,219,0.1390476,1.275949,0.426396,0.1655755,0.1981488,0.8018512,0.001617,=X26*1000,43601041,32960875,12500,1.32,0.12,0.18,0,4600.23,162299.9,0,166900,23,7,0,16,0,992,0,0,0,0,0,4600,0,162300,0,0,0,0,258375,88,249767,18,345900,12280,28.16775,26.0821,26.0821,26.0821,469323.6,5001951,333.6427,22.6746,0.082754,14.71438,774021.2,428287.3,94934.7,12350000000,30880000000,4493000000,10890000000,678800000,2540000000,556645,1391545,354423,858819,248264,928108,3,402,478480,4980091,816,492625,4977029,23699.72,34117.96,23.69972,34.11796,=(BF26*D26)/N26
Chanhassen City,Carver,Chanhassen City,20321,345,171.6949,8387,142.1956,84215,0.89,1831,1566,1612,1347,3224,1347,266,0.0989215,1.196733,0.3995043,0.1740896,0.3902869,0.6097131,0.000889,=X27*1000,82975274,55330274,12500,1.5,0.64,0.77,0,25308.25,255324.3,0,280632,59,5,0,8,112,1434,3,1,54,0,0,4155,21153,242157,192,261,12714,0,494635,126,503188,40,242505,10130,23.93929,26.11281,26.11281,26.11281,455587.2,4966951,526.6538,58.98215,0.1872449,8.929037,212494.5,105928.3,87701.95,7519000000,24070000000,2578000000,8282000000,2046000000,7580000000,369593,1183291,240894,773967,244516,905789,3,402,478480,4980091,816,492625,4977029,26395.87,38384.48,26.39587,38.38448,=(BF27*D27)/N27
Chaska City,Carver,Chaska City,17449,467,238.4324,10690,286.3451,60325,0.89,1185,991,998,804,1996,804,195,0.1216469,1.241294,0.4147964,0.1802262,0.3383421,0.6616579,0.001546,=X28*1000,53543439,37166290,12500,1.44,0.49,0.63,0,12060.63,167805.2,0,179866,37,5,0,15,17,926,2,0,38,0,0,4503,7558,162056,456,0,5293,0,264958,88,341082,31,214830,8822,24.35162,26.12374,26.12374,26.12374,452238.9,4963204,401.8367,37.33257,0.1212097,10.7637,312627.2,158060.5,191528.7,4821000000,14290000000,1689000000,5803000000,1053000000,5390000000,272401,807495,180745,620949,100071,512491,3,402,478480,4980091,816,492625,4977029,31205.19,42686.82,31.20519,42.68682,=(BF28*D28)/N28
Circle Pines City,Anoka,Circle Pines City,4663,928,501.8,2026,403.3833,60469,0.86,203,156,177,130,354,130,48,0.1882353,1.361538,0.4609375,0.1946684,0.1586759,0.8413241,0.010555,=X29*1000,18240635,12158725,11914,1.5,0,0,0,0,34456.3,0,34456,5,7,0,0,0,177,0,0,0,0,0,0,0,34456,0,0,0,0,39771,21,40383,14,68985,2509,27.49502,24.97721,24.97721,24.97721,488167.9,4998617,87.84928,5.022518,0.0784768,17.49108,523498.8,281676.8,227452,1898000000,5027000000,673000000,1565000000,420000000,1260000000,679672,1800567,453963,1055839,367764,1104141,3,402,478480,4980091,816,492625,4977029,20906.19,22043.3,20.90619,22.0433,=(BF29*D29)/N29
Coates City,Dakota,Coates City,163,45,22.5,230,63.91168,48958,0.72,22,20,15,13,30,13,3,0.1428571,1.153846,0.4545455,0.5088247,0.6248727,0.3751273,0.096154,=X30*1000,11880513,9589604,12500,1.24,0.84,0.87,0,2249.8,5382.57,0,7632,4,2,0,4,0,11,0,0,0,0,0,2250,0,5383,0,0,0,0,40070,4,40727,402,3440,90,38.22222,32.06351,32.06351,32.06351,497456.5,4951409,27.25484,3.598716,0.299893,7.573491,61713.58,34074.98,87080.51,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,34391.35,26071.59,34.39135,26.07159,=(BF30*D30)/N30
Cologne City,Carver,Cologne City,1012,457,273,291,131.2926,54583,0.88,133,110,113,90,226,90,24,0.1371429,1.255556,0.4280303,0.1394471,0.3313808,0.6686192,0.014107,=X31*1000,13843170,9844052,12202,1.41,0.4,0.61,0,841.77,14915.75,0,15758,2,7,0,4,0,106,0,0,3,0,0,842,0,14033,0,0,883,0,11555,7,11174,18,14720,546,26.95971,29.06361,29.06361,29.06361,437802.5,4958075,47.65025,2.216424,0.0382142,21.49871,396726.5,214044.1,114078.5,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,46253.25,58006.56,46.25325,58.00656,=(BF31*D31)/N31
Columbia Heights City,Anoka,Columbia Heights City,18520,2038,1025.222,6345,698.2175,40562,0.83,817,521,766,470,1532,470,297,0.3176471,1.629787,0.545584,0.1515709,0.0540627,0.9459373,0.003475,=X32*1000,25788447,19859955,12500,1.3,0.17,0.23,0,4445.35,111658,0,116103,9,13,0,20,0,746,0,0,0,0,0,4445,0,111658,0,0,0,0,159549,67,155363,14,192355,9227,20.84697,26.35645,26.35645,26.35645,480530.5,4988360,212.9906,9.087425,0.0334097,23.43794,1707921,850917.4,585138.3,24310000000,43880000000,6982000000,12250000000,7052000000,12400000000,1245086,2246833,705463,1237467,882217,1553146,3,402,478480,4980091,816,492625,4977029,8519.436,16573.15,8.519436,16.57315,=(BF32*D32)/N32
Coon Rapids City,Anoka,Coon Rapids City,61607,1018,544.3934,21496,355.0878,55550,0.88,2881,2254,2483,1856,4966,1856,628,0.1694092,1.337823,0.4464222,0.1789792,0.1408715,0.8591285,0.000721,=X33*1000,66264017,51655856,12500,1.28,0.3,0.42,0.03,17783.79,426621.7,112,444405,61,7,1,32,12,2393,0,29,16,0,112,12911,4761,418849,0,6183,1589,0,1413422,245,1420743,37,866490,33208,26.09281,26.38093,26.38093,26.38093,475674.9,5002502,944.7296,60.53713,0.0779114,15.60579,875507.3,471924.4,305483.2,34180000000,93130000000,11990000000,31300000000,4412000000,15600000000,560855,1528165,356354,930491,284335,1002148,3,402,478480,4980091,816,492625,4977029,22585.37,30596.63,22.58537,30.59663,=(BF33*D33)/N33
Corcoran City,Hennepin,Corcoran City,5630,60,31.63441,1603,17.15731,78984,0.88,442,401,350,309,700,309,42,0.0685155,1.132686,0.3800217,0.5191128,0.3002366,0.6997634,0.003678,=X34*1000,86728169,64735326,12500,1.34,0.13,0.15,0,2681.65,179007.8,0,181689,93,2,0,0,3,344,0,0,2,1,0,0,2682,178391,0,0,407,210,174705,93,175305,50,82235,2942,27.95207,27.27209,27.27209,27.27209,454084.6,4995211,426.0013,93.42957,0.6770259,4.559598,50793.82,26542.71,14462.25,1130000000,4787000000,366900000,1605000000,209500000,860000000,199302,844003,117071,512036,116921,479879,3,402,478480,4980091,816,492625,4977029,28700.76,42613.7,28.70076,42.6137,=(BF34*D34)/N34
Cottage Grove City,Washington,Cottage Grove City,30582,315,166.9588,6062,62.498,65825,0.89,1281,1000,1173,892,2346,892,282,0.158516,1.315022,0.4393258,0.2512944,0.2195766,0.7804234,0.001476,=X35*1000,76000068,52792086,12500,1.44,0.4,0.67,2.53,22258.45,272509.9,7446,294768,97,3,7,11,5,1110,0,5,35,0,7446,5401,9412,266255,0,1395,4859,0,503237,172,517887,27,416760,16195,25.73387,26.31248,26.31248,26.31248,505741.1,4962530,678.219,96.99509,0.2844431,6.992302,214258.1,113462.5,42470.48,11780000000,42240000000,3716000000,13570000000,1313000000,5400000000,357205,1281347,207361,757216,200879,825914,3,402,478480,4980091,816,492625,4977029,32427.68,19551.27,32.42768,19.55127,=(BF35*D35)/N35
Credit River Township,Scott,Credit River Township,3895,63,33.45161,305,4.94084,78501,0.89,328,280,293,245,586,245,49,0.1010309,1.195918,0.4019204,0.4216298,0.3533636,0.6466364,0.004901,=X36*1000,67072868,47042102,11253,1.43,0,0,0,0,123537.5,0,123538,62,2,0,0,0,293,0,0,0,0,0,0,0,123538,0,0,0,0,0,0,99817,41,50045,2074,24.1297,26.46645,26.46645,26.46645,471557.7,4946795,307.2693,61.73039,0.6235393,4.977602,44224.92,23548.78,3463.056,1318000000,3941000000,473100000,1425000000,35935085,194000000,338821,1013317,220165,663089,135604,732745,3,402,478480,4980091,816,492625,4977029,34007.97,36850.05,34.00797,36.85006,=(BF36*D36)/N36
Crystal City,Hennepin,Crystal City,22698,1498,820.6667,5539,365.5855,48736,0.87,1267,909,1098,740,2196,740,359,0.2433898,1.483784,0.495935,0.1537863,0.1088607,0.8911393,0.002008,=X37*1000,42202676,30495074,11239,1.38,0.08,0.16,0.88,1477.95,167379.4,1478,168857,15,11,3,0,0,1090,1,3,1,0,1478,0,0,165829,306,1190,54,0,244893,102,244595,17,268895,12310,21.84362,26.3139,26.3139,26.3139,471667.9,4987213,372.0401,15.15104,0.0291928,24.55542,1101749,597521.1,268860.2,33230000000,69040000000,10740000000,21070000000,10790000000,19100000000,1055669,2193317,617602,1211864,868771,1533417,3,402,478480,4980091,816,492625,4977029,9855.329,23300.51,9.85533,23.30051,=(BF37*D37)/N37
Dahlgren Township,Carver,Dahlgren Township,1453,16,7.989247,169,1.811688,63224,0.83,397,374,291,268,582,268,24,0.0451977,1.085821,0.3646617,0.5350335,0.3449766,0.6550234,0.004067,=X38*1000,95119260,64483365,12250,1.48,1.17,0.96,0,10020.97,145673.8,0,155695,93,2,0,23,0,196,0,0,72,0,0,10021,0,121011,0,0,24663,0,0,0,80360,89,20530,743,27.63123,28.30816,28.30816,28.30816,444068.3,4956792,446.8284,93.28316,0.7583997,4.790022,11668.95,5966.984,1357.228,180000000,562700000,66995223,236900000,9475637,31000000,123861,387272,83763,296246,46678,152936,3,402,478480,4980091,816,492625,4977029,41557.33,52605.08,41.55733,52.60508,=(BF38*D38)/N38
Dayton City,Hennepin,Dayton City,4686,72,38.36923,1053,16.23589,66875,0.89,352,314,272,234,544,234,39,0.0842333,1.162393,0.3908046,0.4099774,0.3822333,0.6177667,0.004989,=X39*1000,91408171,57781496,12350,1.58,0.07,0.13,1.58,1764.55,109749.3,1765,111514,65,2,1,0,0,270,0,0,1,0,1765,0,0,109624,0,0,125,0,190916,64,192478,66,73490,2494,29.46672,27.48296,27.48296,27.48296,462636.3,5004216,335.175,64.85633,0.5450112,5.167961,44358.02,23608.38,9967.774,1360000000,4077000000,450300000,1332000000,152000000,552000000,290178,870052,175367,518559,143785,522672,3,402,478480,4980091,816,492625,4977029,28862.42,40477.85,28.86242,40.47785,=(BF39*D39)/N39
Deephaven City,Hennepin,Deephaven City,3853,381,169.4,1028,101.6604,101278,0.86,336,284,304,252,608,252,53,0.1062124,1.206349,0.4053333,0.1643192,0.4306508,0.5693492,0.004806,=X40*1000,25875276,17589888,11678,1.47,0.06,0.07,0,445.14,49507.91,0,49953,10,5,0,0,2,302,0,0,0,0,0,0,445,49508,0,0,0,0,15830,26,15434,6,46755,1694,27.60035,24.97195,24.97195,24.97195,458236.3,4975507,121.0686,10.1121,0.0981757,11.97265,223360.5,98202.1,59593.72,1634000000,5150000000,578400000,1555000000,600600000,1590000000,513732,1618988,371674,999363,456754,1211657,3,402,478480,4980091,816,492625,4977029,20756.37,34422.44,20.75637,34.42244,=(BF40*D40)/N40
Dellwood City,Washington,Dellwood City,1033,141,69,239,32.73139,129136,0.87,122,104,101,83,202,83,19,0.1180124,1.216867,0.4156379,0.3210091,0.4087738,0.5912262,0.01484,=X41*1000,28952811,19074118,10804,1.52,0.36,0.45,0,3068.37,29353.54,0,32422,7,4,0,0,7,94,0,0,0,0,0,0,3068,29354,0,0,0,0,22543,15,22048,34,11445,483,23.69565,26.88928,26.88928,26.88928,502577.2,4993884,86.71571,7.301859,0.1698107,11.87584,90306.77,42224.75,20893.82,482500000,1701000000,135600000,485700000,41296788,208000000,342468,1207360,189723,679585,146443,738012,3,402,478480,4980091,816,492625,4977029,27765.19,19573.44,27.76519,19.57344,=(BF41*D41)/N41
Denmark Township,Washington,Denmark Township,1348,17,8.769231,536,6.847483,74821,0.82,162,144,123,105,246,105,19,0.0926829,1.171429,0.3980583,0.8162213,0.2214207,0.7785793,0.011264,=X42*1000,86870887,66059539,12500,1.32,0.83,0.9,0,15034.75,85360.47,0,100395,78,1,0,11,5,104,0,0,3,0,0,7321,7714,83326,0,0,2034,0,0,0,107103,128,17160,684,25.08772,28.51275,28.51275,28.51275,514019.2,4961998,310.782,78.27692,1.043692,3.970289,16468.14,8356.237,6548.163,156100000,529500000,49035563,170100000,16846350,124000000,121190,411115,66241,229837,32775,240282,3,402,478480,4980091,816,492625,4977029,39879.9,26146.81,39.8799,26.14681,=(BF42*D42)/N42
Douglas Township,Dakota,Douglas Township,760,9,3.511364,99,1.123759,60536,0.77,157,134,111,88,222,88,24,0.1403509,1.261364,0.4302326,1.086033,0.1775787,0.8224213,0.014498,=X43*1000,98994436,70906571,12500,1.4,0.88,0.52,0,5743.26,114806.4,0,120550,88,1,0,8,0,90,0,0,13,0,0,5743,0,109793,0,0,5013,0,0,0,56322,119,8615,309,27.88026,29.7851,29.7851,29.7851,511511.1,4936964,250.4623,88.09178,1.694073,2.843197,7987.094,3247.384,1040.424,31247135,169900000,8602877,52020560,2114315,12000000,34913,189799,18629,112647,10955,62117,3,402,478480,4980091,816,492625,4977029,54323.41,44293.65,54.32341,44.29365,=(BF43*D43)/N43
Eagan City,Dakota,Eagan City,63557,733,408.046,42741,492.9575,67388,0.89,3223,2640,2915,2332,5830,2332,584,0.1253488,1.25,0.4170243,0.1797862,0.2147491,0.7852509,0.000536,=X44*1000,76681512,59735047,12450,1.28,0.42,0.67,3.52,38525.75,485551,18468,524077,87,6,36,0,69,2750,0,43,17,0,18468,0,20058,468943,0,14881,1726,0,1928985,264,1937806,49,794450,35500,22.37887,26.25348,26.25348,26.25348,487042.8,4962626,1026.4,86.70322,0.1162242,11.83808,623686.7,348362.5,419418.7,54430000000,125700000000,20220000000,41460000000,29330000000,62000000000,856403,1977048,546806,1121587,685987,1449364,3,402,478480,4980091,816,492625,4977029,19451.16,15446.93,19.45116,15.44693,=(BF44*D44)/N44
East Bethel City,Anoka,East Bethel City,10941,89,45.55285,1287,10.42521,57880,0.9,898,777,695,574,1390,574,122,0.1067367,1.210801,0.4050117,0.3825859,0.3229515,0.6770486,0.002113,=X45*1000,85345872,60892374,10782,1.4,0.24,0.33,0,12911.22,252986,0,265897,123,2,0,24,0,669,0,0,2,0,0,12911,0,251538,0,0,1448,0,320124,149,322514,47,195600,5603,34.90987,27.05558,27.05558,27.05558,484034,5022481,589.2875,123.4507,0.5992753,4.773464,67177.77,34402.44,7902.184,1176000000,4078000000,390500000,1552000000,23301444,179000000,107463,372711,66576,264570,16959,130368,3,402,478480,4980091,816,492625,4977029,42752.3,46256.77,42.7523,46.25677,=(BF45*D45)/N45
Eden Prairie City,Hennepin,Eden Prairie City,54901,603,320.0659,50656,556.0196,78328,0.87,2799,2337,2530,2068,5060,2068,463,0.1120794,1.223404,0.4081962,0.1924462,0.2705879,0.7294121,0.000592,=X46*1000,87924689,65094640,12500,1.35,0.55,0.78,3.08,41307.56,445581.4,15008,486889,91,5,35,34,72,2340,2,31,16,0,15008,14177,12123,430965,1552,9235,3829,0,1443541,258,1501952,44,603580,29126,20.72306,25.70722,25.70722,25.70722,463686.6,4966255,1025.449,91.10471,0.1505863,11.25571,444023.7,235562.8,409691.3,39050000000,101500000000,13320000000,32470000000,43960000000,80700000000,709989,1846349,434811,1059434,816045,1497447,3,402,478480,4980091,816,492625,4977029,20255.71,30879.14,20.2557,30.87914,=(BF46*D46)/N46
Edina City,Hennepin,Edina City,47425,1146,512.3903,53124,1283.811,66019,0.84,2581,1907,2277,1603,4554,1603,675,0.2108716,1.420462,0.4740787,0.1674343,0.1166418,0.8833582,0.000887,=X47*1000,53259648,40323794,12500,1.32,0.41,0.52,5.05,19262.17,361985.9,19262,381248,41,9,70,0,0,2131,0,76,0,0,19262,0,0,347434,0,14552,0,0,1520716,222,1506300,51,427965,21008,20.37152,26.39685,26.39685,26.39685,471558.1,4970949,777.1761,41.37992,0.0500968,18.78148,931184.4,412489.6,1043084,53500000000,103000000000,14510000000,26290000000,48860000000,73600000000,1228764,2366272,712459,1290321,1075663,1619469,3,402,478480,4980091,816,492625,4977029,11467.28,21926.89,11.46728,21.92689,=(BF47*D47)/N47
Elko City,,Elko City,472,110,65.25,124,29.02612,67625,0.88,64,60,46,42,92,42,5,0.0632911,1.095238,0.3833333,0.2702379,0.6900897,0.3099103,0.026713,=X48*1000,17398566,9704553,10482,1.79,0,0,0,0,12430.94,0,12431,4,3,0,0,0,46,0,0,0,0,0,0,0,12431,0,0,0,0,12011,6,12011,41,7180,261,27.50958,25.77884,25.77884,25.77884,474302.9,4934621,33.69263,4.272014,0.2373341,7.886826,46467.35,25694.87,12207.52,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,45661.46,46196.71,45.66146,46.19672,=(BF48*D48)/N48
Empire Township,Dakota,Empire Township,1638,19,10.11494,205,2.355689,68500,0.87,237,215,137,115,274,115,23,0.1022222,1.191304,0.4041298,0.8238385,0.2040727,0.7959273,0.01045,=X49*1000,86914979,60916566,11664,1.43,0.91,0.83,0,8052.63,104813.2,0,112866,87,1,0,0,12,110,0,0,15,0,0,0,8053,93347,0,0,11467,0,0,0,88843,87,21225,880,24.11932,28.84664,28.84664,28.84664,492613.8,4946929,305.813,87.02339,0.9160357,3.514147,15650.83,8408.262,1958.743,422300000,1273000000,130900000,421600000,13335335,62900000,184431,555693,109863,353903,61453,289895,3,402,478480,4980091,816,492625,4977029,36048.81,30100.5,36.04881,30.1005,=(BF49*D49)/N49
Eureka Township,Dakota,Eureka Township,1490,16,8.419354,185,1.995194,66875,0.84,251,220,180,149,360,149,32,0.109215,1.208054,0.4081633,0.7469509,0.2017851,0.7982149,0.008163,=X50*1000,88863236,65780125,12500,1.35,0.77,0.38,0,0,134451.2,0,134451,93,1,0,0,0,145,0,2,33,0,0,0,0,125346,0,537,8569,0,0,0,40077,43,18750,783,23.94636,28.29727,28.29727,28.29727,482724.7,4937124,355.4682,92.72279,0.9658625,3.833666,14342.39,7536.977,1780.767,252400000,711400000,83914908,255500000,9904860,45600000,169410,477420,98267,299146,50535,232854,3,402,478480,4980091,816,492625,4977029,43176.66,41115.26,43.17665,41.11526,=(BF50*D50)/N50
Excelsior City,Hennepin,Excelsior City,2393,1052,695.5,1784,784.3053,43598,0.9,196,158,165,127,330,127,39,0.1566265,1.299213,0.44,0.1208659,0.2863615,0.7136385,0.010311,=X51*1000,10906644,8373820,11716,1.3,0.28,0.33,0,1216.23,18726.65,0,19943,2,9,0,0,8,157,0,0,0,0,0,0,1216,18727,0,0,0,0,45657,12,45340,30,30885,1391,22.20345,27.57631,27.57631,27.57631,455297.6,4972276,56.3491,2.274624,0.0274051,24.77292,959308.1,557625.4,715171.6,642400000,1912000000,225100000,685100000,629200000,1760000000,476534,1418760,283573,863268,390339,1089546,3,402,478480,4980091,816,492625,4977029,24464.25,37628.83,24.46425,37.62883,=(BF51*D51)/N51
Falcon Heights City,Ramsey,Falcon Heights City,5572,961,461.6667,4467,770.1436,51382,0.63,348,248,296,196,592,196,101,0.2609819,1.510204,0.5085911,0.1780273,0.0637661,0.9362339,0.007745,=X52*1000,24022452,17703722,12500,1.36,0.33,0.38,0,2471.58,50224.5,0,52696,6,9,0,0,10,282,0,1,3,0,0,0,2472,49554,0,374,296,0,95901,27,94410,27,52835,2770,19.07401,27.36488,27.36488,27.36488,486046.3,4981848,104.4156,5.800218,0.0374208,18.00201,794759.9,395097.8,637148.7,2895000000,5563000000,714500000,1334000000,2185000000,3900000000,1289746,2478164,719942,1343936,918195,1636851,3,402,478480,4980091,816,492625,4977029,7767.46,8154.624,7.76746,8.154624,=(BF52*D52)/N52
Farmington City,Dakota,Farmington City,12365,387,199.5625,3999,125.2417,61864,0.89,809,624,680,495,1360,495,186,0.1888325,1.373737,0.4597701,0.1972429,0.1810657,0.8189343,0.002781,=X53*1000,51028348,38779613,11914,1.32,0.28,0.21,0,2255.63,131869.6,0,134125,32,4,0,0,12,653,0,0,15,0,0,0,2256,130485,0,0,1385,0,133623,53,133607,17,161605,6386,25.30614,25.99873,25.99873,25.99873,486173.2,4944727,305.7016,31.93027,0.1277211,9.574037,307515.7,158818.9,99454.54,2659000000,7643000000,900600000,2736000000,244800000,1320000000,228667,657147,145057,440661,61403,331383,3,402,478480,4980091,816,492625,4977029,36191.13,32940.02,36.19113,32.94001,=(BF53*D53)/N53
Forest Lake City,Washington,Forest Lake City,14440,157,35.8913,5440,59.18875,44419,0.85,1081,876,927,722,1854,722,206,0.143155,1.283934,0.4291667,0.2725034,0.3052076,0.6947924,0.001781,=X54*1000,86047400,58503955,12250,1.47,0.79,0.92,3.4,28579.73,224030.9,8593,252611,92,3,20,33,39,813,0,16,5,1,8593,9664,10323,216158,0,3304,4493,76,379328,138,489568,55,86790,3302,26.28407,28.33652,28.33652,28.33652,503275.8,5011120,519.8038,91.90926,0.336664,5.655619,118626.9,27126.45,44690.45,1967000000,12130000000,635600000,3987000000,470700000,3720000000,136188,839784,81281,509833,70939,560094,3,402,478480,4980091,816,492625,4977029,39719.39,35716.04,39.71939,35.71604,=(BF54*D54)/N54
Fridley City,Anoka,Fridley City,27449,979,530.3571,26279,936.9321,48372,0.87,1558,1142,1348,932,2696,932,417,0.2243142,1.446352,0.4831541,0.1748625,0.1018853,0.8981147,0.001554,=X55*1000,47346463,36278955,12450,1.31,0.46,0.6,1.86,17826.57,217888,4377,235715,28,8,17,40,0,1256,0,35,0,0,4377,13450,0,212734,0,5154,0,0,964152,136,963840,57,326240,14850,21.96902,27.60126,27.60126,27.60126,479583.7,4992342,530.5173,28.04792,0.0557613,18.91467,890442.3,481732.3,852487.7,33310000000,62110000000,10640000000,18940000000,21970000000,42500000000,1173022,2187418,671703,1195089,736030,1424986,3,402,478480,4980091,816,492625,4977029,12300.61,20113.79,12.30061,20.11379,=(BF55*D55)/N55
Gem Lake City,Ramsey,Gem Lake City,419,146,71.66666,575,200.9795,64167,0.89,31,29,26,24,52,24,3,0.0697674,1.083333,0.3939394,0.3728148,0.1601789,0.839821,0.047101,=X56*1000,20681217,13842885,12500,1.49,0.89,0.6,0,813.55,8879.63,0,9693,3,3,0,2,0,21,0,0,3,0,0,814,0,8605,0,0,274,0,25641,5,25563,98,4075,215,18.95349,28.55938,28.55938,28.55938,496810.5,4989391,24.2767,2.860988,0.1682934,8.485426,108864,55860.99,149395.7,2845000000,7079000000,925700000,2214000000,1637000000,3880000000,791227,1968554,460064,1100237,517895,1227160,3,402,478480,4980091,816,492625,4977029,20554.51,13050.87,20.55451,13.05087,=(BF56*D56)/N56
Golden Valley City,Hennepin,Golden Valley City,20281,743,374.4445,30074,1101.562,62063,0.85,1703,1243,1463,1003,2926,1003,461,0.2303848,1.458624,0.4871795,0.1721673,0.104268,0.895732,0.001456,=X57*1000,49109802,37051479,12500,1.33,0.66,0.75,5.78,21155.86,230725,14566,251881,27,9,67,0,29,1305,0,61,1,0,14566,0,6589,220050,0,10182,493,0,1124785,142,1114599,88,198560,10110,19.63996,27.08174,27.08174,27.08174,471698.7,4981908,543.8328,27.30123,0.0467487,19.91972,630844.8,314473.7,935458.1,25410000000,49380000000,7785000000,14470000000,30740000000,48700000000,1228565,2387420,710046,1319567,1034693,1640009,3,402,478480,4980091,816,492625,4977029,7020.359,21487.42,7.02036,21.48742,=(BF57*D57)/N57
Grant City,Washington,Grant City,4026,59,30.21739,702,10.22411,98228,0.87,369,334,290,255,580,255,36,0.0712871,1.137255,0.3820817,0.5320497,0.4039255,0.5960745,0.004477,=X58*1000,79340569,55700456,12500,1.42,0.28,0.29,0,7865.75,146428.7,0,154294,69,2,0,0,14,276,0,0,0,0,0,0,7866,146429,0,0,0,0,80965,83,121720,49,52435,2085,25.14868,26.82077,26.82077,26.82077,507153.7,4992123,317.4325,68.66122,0.6416937,4.623171,42288.21,21900.38,7373.652,1037000000,3508000000,310700000,1075000000,133000000,558000000,283070,957805,153239,530048,177399,743509,3,402,478480,4980091,816,492625,4977029,31095.84,20950.24,31.09584,20.95024,=(BF58*D58)/N58
Greenfield City,Hennepin,Greenfield City,2544,46,22.44643,345,6.204337,80933,0.85,254,237,209,192,418,192,18,0.0474934,1.088542,0.3666667,0.5066936,0.4892718,0.5107282,0.005699,=X59*1000,55170765,37725113,10290,1.46,0.59,0.54,0,7256.32,98642.64,0,105899,56,2,0,0,17,186,0,0,6,0,0,0,7256,95759,0,0,2884,0,116101,49,115066,73,41960,1257,33.38107,27.07406,27.07406,27.07406,445840.1,4994251,281.882,55.60624,0.6465842,5.069252,31895.61,15759.74,4325.465,298500000,1399000000,90528524,496900000,33447190,257000000,111066,520366,63307,347471,46390,356437,3,402,478480,4980091,816,492625,4977029,35579.02,49854,35.57903,49.854,=(BF59*D59)/N59
Greenvale Township,Dakota,Greenvale Township,684,9,4.519481,117,1.522178,66818,0.85,168,143,110,85,220,85,26,0.1575758,1.294118,0.4417671,0.9711087,0.1596923,0.8403077,0.015406,=X60*1000,87212343,63319570,12500,1.38,0.74,0.42,0,3512.2,103309.8,0,106822,77,1,0,0,2,95,0,3,10,0,0,0,3512,100020,0,514,2776,0,0,0,37858,89,9015,348,25.90517,28.29277,28.29277,28.29277,482411.9,4928319,259.4894,76.86292,1.182506,3.376002,7638.255,3886.13,1306.544,20820257,244800000,6130827,75895318,898144,4223480,16777,197247,8971,111060,13208,62110,3,402,478480,4980091,816,492625,4977029,51921.59,49769.67,51.92159,49.76967,=(BF60*D60)/N60
Greenwood City,Hennepin,Greenwood City,729,276,124.3333,148,56.00053,102719,0.88,82,77,64,59,128,59,6,0.0530973,1.084746,0.374269,0.1656089,0.4393523,0.5606477,0.018703,=X61*1000,15416631,9248160,11674,1.67,0.4,0.28,0,0,10598.97,0,10599,3,4,0,0,0,59,0,0,5,0,0,0,0,10082,0,0,517,0,2753,5,2653,6,9185,373,24.62466,25.15407,25.15407,25.15407,456200.9,4973353,33.88391,2.642832,0.0978827,12.82106,127759.7,65369.49,25937.49,,,,,,,,,,,,,1,402,478480,4980091,816,492625,4977029,23275.68,36609.09,23.27568,36.60909,=(BF61*D61)/N61
