workbook,sheet_name,max_row,max_column,formula_cells
MCDAnalysis_Charts.xlsx,StataData,185,97,368
MCD_Results_July2012.xlsx,Results,24,13,0
MCD_Results_July2012.xlsx,Sheet1,34,23,0
MCD_Results_July2012.xlsx,FACTORLOADINGS,29,6,0
MCD_Results_July2012.xlsx,FACTORLOADINGS_CAT,41,11,0
MCD_Results_July2012.xlsx,Sheet2,50,13,0
MCD_Results_July2012.xlsx,Correlation,13,12,0
